,Network 1,Network 2,Mean Coeff,σ Coeff
R_10d-R_TE2p,Default,Dorsal_Attention,0.03,0.06
R_25-L_PHA3,Default,Dorsal_Attention,-0.03,0.03
R_47s-L_PHA3,Default,Dorsal_Attention,0.02,0.03
R_47s-R_TE2p,Default,Dorsal_Attention,0.02,0.02
R_PHA2-L_PHA3,Default,Dorsal_Attention,-0.01,0.03
R_10pp-L_LIPd,Default,Dorsal_Attention,0.01,0.01
R_47l-L_LIPd,Default,Dorsal_Attention,0.01,0.01
L_47s-L_PGp,Default,Dorsal_Attention,0.01,0.02
L_47s-L_PFt,Default,Dorsal_Attention,0.01,0.01
R_9a-R_TE2p,Default,Dorsal_Attention,0.01,0.01
R_9m-R_TE2p,Default,Dorsal_Attention,0.0,0.01
L_47m-L_PGp,Default,Dorsal_Attention,0.0,0.01
L_47m-L_PFt,Default,Dorsal_Attention,0.0,0.01
R_47l-R_PGp,Default,Dorsal_Attention,-0.0,0.01
R_v23ab-L_PEF,Default,Dorsal_Attention,0.0,0.01
R_POS1-R_TE2p,Default,Dorsal_Attention,-0.0,0.0
L_TGd-L_PGp,Default,Dorsal_Attention,0.0,0.01
R_STSda-R_TE2p,Default,Dorsal_Attention,0.0,0.0
R_47m-L_PEF,Default,Dorsal_Attention,0.0,0.0
R_10v-R_TE2p,Default,Dorsal_Attention,0.0,0.0
L_23d-L_PGp,Default,Dorsal_Attention,0.0,0.0
R_p32-R_TE2p,Default,Dorsal_Attention,0.0,0.0
R_EC-L_PGp,Default,Dorsal_Attention,-0.0,0.0
L_8Ad-L_6a,Default,Dorsal_Attention,-0.0,0.0
L_H-L_PHT,Default,Dorsal_Attention,-0.0,0.0
R_7m-L_PEF,Default,Dorsal_Attention,0.0,0.0
L_47s-L_PHT,Default,Dorsal_Attention,0.0,0.0
R_10r-R_TE2p,Default,Dorsal_Attention,0.0,0.0
R_a24-R_TE2p,Default,Dorsal_Attention,0.0,0.0
L_H-L_PGp,Default,Dorsal_Attention,-0.0,0.0
R_47s-L_PEF,Default,Dorsal_Attention,0.0,0.0
R_8Ad-L_IP0,Default,Dorsal_Attention,-0.0,0.0
R_47m-R_TE2p,Default,Dorsal_Attention,-0.0,0.0
R_s32-L_PHT,Default,Dorsal_Attention,0.0,0.0
R_47m-R_PGp,Default,Dorsal_Attention,-0.0,0.0
R_10r-L_PEF,Default,Dorsal_Attention,-0.0,0.0
R_47l-L_PHA3,Default,Dorsal_Attention,0.0,0.0
R_POS1-L_PEF,Default,Dorsal_Attention,0.0,0.0
R_TE1a-R_TE2p,Default,Dorsal_Attention,0.0,0.0
R_47l-R_TE2p,Default,Dorsal_Attention,0.0,0.0
R_TGd-R_TE2p,Default,Dorsal_Attention,-0.0,0.0
R_a24-L_PEF,Default,Dorsal_Attention,-0.0,0.0
L_47l-L_PGp,Default,Dorsal_Attention,0.0,0.0
L_9p-L_PHA3,Default,Dorsal_Attention,0.0,0.0
R_47l-L_PEF,Default,Dorsal_Attention,-0.0,0.0
R_p32-L_PEF,Default,Dorsal_Attention,0.0,0.0
L_23d-L_11l,Default,Frontoparietal,-0.12,0.16
R_TE2a-R_TE1m,Default,Frontoparietal,-0.12,0.26
L_d32-L_13l,Default,Frontoparietal,0.09,0.13
R_EC-L_a47r,Default,Frontoparietal,-0.06,0.1
R_47s-L_a47r,Default,Frontoparietal,-0.04,0.06
R_47m-L_13l,Default,Frontoparietal,-0.04,0.05
L_9m-L_13l,Default,Frontoparietal,0.04,0.08
R_STSda-L_a47r,Default,Frontoparietal,-0.04,0.04
R_10r-R_OFC,Default,Frontoparietal,-0.03,0.06
R_10pp-L_8C,Default,Frontoparietal,-0.03,0.05
L_47l-L_a47r,Default,Frontoparietal,0.03,0.04
L_47m-L_a47r,Default,Frontoparietal,0.03,0.04
R_TGd-L_a47r,Default,Frontoparietal,-0.03,0.02
R_10v-L_p10p,Default,Frontoparietal,0.02,0.03
R_10d-R_OFC,Default,Frontoparietal,-0.02,0.03
L_23d-L_a10p,Default,Frontoparietal,-0.02,0.03
R_10d-R_p47r,Default,Frontoparietal,-0.02,0.02
L_10v-L_AVI,Default,Frontoparietal,0.02,0.06
R_s32-L_AVI,Default,Frontoparietal,0.02,0.02
R_STSda-L_AVI,Default,Frontoparietal,-0.02,0.02
R_STSvp-L_a47r,Default,Frontoparietal,-0.02,0.02
R_10v-L_a47r,Default,Frontoparietal,-0.01,0.02
R_s32-L_8C,Default,Frontoparietal,-0.01,0.03
R_23d-L_7Pm,Default,Frontoparietal,0.01,0.02
R_47l-R_AVI,Default,Frontoparietal,0.01,0.02
R_TE1a-R_p47r,Default,Frontoparietal,0.01,0.01
R_25-L_a47r,Default,Frontoparietal,0.01,0.01
R_PGi-R_p10p,Default,Frontoparietal,-0.01,0.01
R_9p-R_AVI,Default,Frontoparietal,-0.01,0.01
R_47s-R_p47r,Default,Frontoparietal,0.01,0.01
R_s32-R_p47r,Default,Frontoparietal,-0.01,0.01
R_9p-R_a47r,Default,Frontoparietal,-0.0,0.01
R_47s-R_AVI,Default,Frontoparietal,0.0,0.01
R_47l-L_a47r,Default,Frontoparietal,-0.0,0.01
R_PGi-R_p47r,Default,Frontoparietal,-0.0,0.01
R_PHA1-L_7Pm,Default,Frontoparietal,-0.0,0.01
L_PGi-L_p47r,Default,Frontoparietal,-0.0,0.01
L_s32-L_p47r,Default,Frontoparietal,-0.0,0.01
R_PGi-L_AVI,Default,Frontoparietal,-0.0,0.01
L_47l-L_PFm,Default,Frontoparietal,-0.0,0.01
R_31pv-R_a47r,Default,Frontoparietal,0.0,0.0
L_v23ab-L_a47r,Default,Frontoparietal,0.0,0.0
R_25-R_p10p,Default,Frontoparietal,-0.0,0.01
L_PGs-L_p47r,Default,Frontoparietal,-0.0,0.0
R_s32-R_p10p,Default,Frontoparietal,-0.0,0.0
R_s32-L_7Pm,Default,Frontoparietal,0.0,0.0
L_9a-L_AVI,Default,Frontoparietal,-0.0,0.0
R_47m-L_a47r,Default,Frontoparietal,-0.0,0.0
L_POS1-L_a47r,Default,Frontoparietal,0.0,0.0
L_POS1-L_8C,Default,Frontoparietal,-0.0,0.0
R_47l-L_AVI,Default,Frontoparietal,0.0,0.0
R_9p-R_p47r,Default,Frontoparietal,-0.0,0.0
R_PGi-L_POS2,Default,Frontoparietal,0.0,0.0
R_TE1a-L_AVI,Default,Frontoparietal,-0.0,0.0
R_a24-L_IFJp,Default,Frontoparietal,0.0,0.0
R_25-L_AVI,Default,Frontoparietal,0.0,0.0
L_7m-L_a47r,Default,Frontoparietal,0.0,0.0
L_7m-L_AVI,Default,Frontoparietal,0.0,0.0
R_25-R_p47r,Default,Frontoparietal,-0.0,0.0
L_47s-L_AVI,Default,Frontoparietal,0.0,0.0
L_TGd-L_PFm,Default,Frontoparietal,0.0,0.0
R_47s-L_AVI,Default,Frontoparietal,-0.0,0.0
L_v23ab-L_8C,Default,Frontoparietal,-0.0,0.0
R_p32-L_a47r,Default,Frontoparietal,-0.0,0.0
L_47m-L_AVI,Default,Frontoparietal,-0.0,0.0
R_47s-R_STGa,Default,Language,0.06,0.08
R_25-L_TPOJ1,Default,Language,0.03,0.09
R_v23ab-R_TGv,Default,Language,-0.03,0.03
R_s32-L_44,Default,Language,0.02,0.03
L_47s-L_TPOJ1,Default,Language,0.02,0.02
R_TE1a-R_TPOJ1,Default,Language,0.02,0.04
R_s32-L_45,Default,Language,0.02,0.03
R_H-L_STSda,Default,Language,0.02,0.03
L_47s-L_A5,Default,Language,0.01,0.02
L_H-L_TPOJ1,Default,Language,-0.01,0.02
R_STSvp-L_45,Default,Language,-0.01,0.02
R_25-L_PSL,Default,Language,-0.01,0.02
R_47s-L_STV,Default,Language,-0.01,0.01
L_TGd-L_TPOJ1,Default,Language,0.01,0.02
R_TE1a-L_45,Default,Language,-0.01,0.01
L_47s-L_STSda,Default,Language,0.01,0.01
R_STSda-L_45,Default,Language,-0.01,0.01
R_TGd-L_A5,Default,Language,-0.01,0.01
R_47s-L_TPOJ1,Default,Language,-0.01,0.01
L_47m-L_TPOJ1,Default,Language,0.0,0.01
L_EC-L_TPOJ1,Default,Language,0.0,0.01
R_31pv-R_45,Default,Language,0.0,0.01
R_9p-R_45,Default,Language,-0.0,0.01
R_TGd-L_PSL,Default,Language,0.0,0.01
R_TGd-L_TPOJ1,Default,Language,-0.0,0.01
R_PGi-L_45,Default,Language,-0.0,0.01
L_47m-L_45,Default,Language,0.0,0.0
L_H-L_STSdp,Default,Language,-0.0,0.0
R_EC-L_TPOJ1,Default,Language,0.0,0.0
L_47l-L_TPOJ1,Default,Language,-0.0,0.0
L_9m-L_Pir,Default,Orbito-Affective,-0.06,0.08
L_s32-L_pOFC,Default,Orbito-Affective,0.03,0.05
L_9m-L_AAIC,Default,Orbito-Affective,-0.03,0.03
L_10d-L_pOFC,Default,Orbito-Affective,0.03,0.04
L_47s-L_AAIC,Default,Orbito-Affective,0.02,0.04
R_25-L_pOFC,Default,Orbito-Affective,-0.02,0.04
L_PGi-L_pOFC,Default,Orbito-Affective,-0.02,0.04
R_STSda-L_Pir,Default,Orbito-Affective,-0.02,0.03
L_10d-L_Pir,Default,Orbito-Affective,-0.02,0.02
L_10d-L_AAIC,Default,Orbito-Affective,-0.01,0.02
R_9p-R_Pir,Default,Orbito-Affective,-0.01,0.01
R_PGi-R_pOFC,Default,Orbito-Affective,-0.01,0.01
R_47l-R_AAIC,Default,Orbito-Affective,0.01,0.01
L_9a-L_pOFC,Default,Orbito-Affective,0.01,0.01
R_STSda-L_AAIC,Default,Orbito-Affective,-0.01,0.01
L_9a-L_AAIC,Default,Orbito-Affective,-0.0,0.01
L_PGs-L_pOFC,Default,Orbito-Affective,-0.0,0.01
R_s32-L_AAIC,Default,Orbito-Affective,0.0,0.01
L_7m-L_pOFC,Default,Orbito-Affective,-0.0,0.01
R_9p-R_AAIC,Default,Orbito-Affective,-0.0,0.0
L_10v-L_AAIC,Default,Orbito-Affective,-0.0,0.01
R_47s-R_AAIC,Default,Orbito-Affective,0.0,0.0
L_47s-L_pOFC,Default,Orbito-Affective,-0.0,0.0
R_s32-L_Pir,Default,Orbito-Affective,0.0,0.0
R_TE1a-L_Pir,Default,Orbito-Affective,-0.0,0.0
R_47l-R_Pir,Default,Orbito-Affective,-0.0,0.0
R_47m-R_AAIC,Default,Orbito-Affective,-0.0,0.0
R_47l-L_AAIC,Default,Orbito-Affective,0.0,0.0
L_47m-L_AAIC,Default,Orbito-Affective,0.0,0.0
L_TE1a-L_pOFC,Default,Orbito-Affective,0.0,0.0
R_PGi-L_AAIC,Default,Orbito-Affective,-0.0,0.0
R_TE1a-L_AAIC,Default,Orbito-Affective,-0.0,0.0
L_47l-L_AAIC,Default,Orbito-Affective,-0.0,0.0
L_7m-L_AAIC,Default,Orbito-Affective,0.0,0.0
R_PGi-L_Pir,Default,Orbito-Affective,0.0,0.0
R_47s-R_Pir,Default,Orbito-Affective,0.0,0.0
R_STSvp-R_TPOJ3,Default,Posterior_Multimodal,0.12,0.12
L_EC-L_TPOJ2,Default,Posterior_Multimodal,0.01,0.01
R_v23ab-R_TPOJ3,Default,Posterior_Multimodal,-0.01,0.01
L_H-L_TPOJ2,Default,Posterior_Multimodal,-0.0,0.01
L_47s-L_TPOJ2,Default,Posterior_Multimodal,0.0,0.01
L_TGd-L_TPOJ2,Default,Posterior_Multimodal,0.0,0.01
R_25-L_PCV,Default,Posterior_Multimodal,0.0,0.0
L_47s-L_TPOJ3,Default,Posterior_Multimodal,0.0,0.01
L_47l-L_TPOJ3,Default,Posterior_Multimodal,-0.0,0.0
R_TGd-R_TPOJ3,Default,Posterior_Multimodal,0.0,0.0
R_47s-R_TPOJ3,Default,Posterior_Multimodal,-0.0,0.0
R_47l-R_TPOJ3,Default,Posterior_Multimodal,-0.0,0.0
R_POS1-R_TPOJ3,Default,Posterior_Multimodal,0.0,0.0
L_47m-L_TPOJ2,Default,Posterior_Multimodal,0.0,0.0
R_47m-R_TPOJ3,Default,Posterior_Multimodal,0.0,0.0
L_47m-L_OP1,Default,Somatomotor,0.04,0.04
R_s32-L_2,Default,Somatomotor,-0.03,0.05
R_STSvp-L_7AL,Default,Somatomotor,0.02,0.02
R_10r-L_3a,Default,Somatomotor,-0.02,0.02
R_31pd-L_6v,Default,Somatomotor,0.02,0.02
R_47s-R_Ig,Default,Somatomotor,0.01,0.03
R_EC-L_7AL,Default,Somatomotor,0.01,0.02
R_47l-R_Ig,Default,Somatomotor,0.01,0.02
R_p32-L_3a,Default,Somatomotor,-0.01,0.01
R_a24-L_3a,Default,Somatomotor,-0.01,0.01
R_EC-L_6v,Default,Somatomotor,-0.01,0.01
R_EC-L_5L,Default,Somatomotor,0.01,0.01
L_47s-L_OP1,Default,Somatomotor,0.01,0.01
R_TGd-R_Ig,Default,Somatomotor,0.01,0.01
R_STSda-L_7AL,Default,Somatomotor,0.01,0.01
R_25-L_OP1,Default,Somatomotor,0.01,0.01
R_v23ab-L_24dv,Default,Somatomotor,0.01,0.02
R_47l-L_6v,Default,Somatomotor,0.01,0.01
R_47m-L_6v,Default,Somatomotor,0.01,0.01
R_10v-L_3a,Default,Somatomotor,-0.01,0.01
R_25-L_OP4,Default,Somatomotor,-0.01,0.01
R_10v-L_OP1,Default,Somatomotor,-0.0,0.01
R_10v-L_24dv,Default,Somatomotor,-0.0,0.01
R_47m-R_Ig,Default,Somatomotor,0.0,0.01
L_47m-L_OP4,Default,Somatomotor,0.0,0.01
R_47s-R_FOP2,Default,Somatomotor,0.0,0.01
R_7m-L_6v,Default,Somatomotor,0.0,0.01
R_25-L_24dv,Default,Somatomotor,0.0,0.01
L_47s-L_OP4,Default,Somatomotor,0.0,0.01
R_47l-R_FOP2,Default,Somatomotor,0.0,0.01
R_7m-L_24dv,Default,Somatomotor,0.0,0.01
R_47s-L_6v,Default,Somatomotor,0.0,0.0
L_POS1-L_3a,Default,Somatomotor,0.0,0.0
R_10r-L_6v,Default,Somatomotor,0.0,0.01
L_7m-L_3a,Default,Somatomotor,0.0,0.0
R_v23ab-L_6v,Default,Somatomotor,0.0,0.0
R_47m-L_24dv,Default,Somatomotor,0.0,0.01
L_v23ab-L_6v,Default,Somatomotor,0.0,0.01
L_POS1-L_6v,Default,Somatomotor,0.0,0.0
R_TGd-L_24dv,Default,Somatomotor,-0.0,0.0
R_10v-L_6v,Default,Somatomotor,-0.0,0.01
R_47m-R_FOP2,Default,Somatomotor,0.0,0.01
R_a24-L_24dv,Default,Somatomotor,0.0,0.0
R_POS1-L_3a,Default,Somatomotor,0.0,0.0
R_p32-L_24dv,Default,Somatomotor,0.0,0.0
R_TGd-L_3a,Default,Somatomotor,-0.0,0.0
R_10r-L_24dv,Default,Somatomotor,0.0,0.01
L_7m-L_6v,Default,Somatomotor,0.0,0.0
R_POS1-L_6v,Default,Somatomotor,0.0,0.0
L_47l-L_OP4,Default,Somatomotor,-0.0,0.0
L_31pv-L_6v,Default,Somatomotor,-0.0,0.0
L_v23ab-L_3a,Default,Somatomotor,0.0,0.0
L_POS1-L_24dv,Default,Somatomotor,0.0,0.0
R_47s-L_24dv,Default,Somatomotor,-0.0,0.0
R_47m-L_3a,Default,Somatomotor,-0.0,0.0
R_47l-L_24dv,Default,Somatomotor,-0.0,0.0
R_TGd-L_6v,Default,Somatomotor,-0.0,0.0
R_p32-L_OP4,Default,Somatomotor,0.0,0.0
R_a24-L_6v,Default,Somatomotor,0.0,0.0
R_p32-L_6v,Default,Somatomotor,0.0,0.0
L_7m-L_24dv,Default,Somatomotor,0.0,0.0
L_9a-L_PeEc,Default,Ventral_Multimodal,-0.05,0.11
L_H-L_PeEc,Default,Ventral_Multimodal,-0.04,0.06
R_9p-L_TF,Default,Ventral_Multimodal,0.03,0.07
L_10v-L_TF,Default,Ventral_Multimodal,-0.02,0.03
R_TE1a-L_PeEc,Default,Ventral_Multimodal,-0.0,0.01
R_PGi-L_PeEc,Default,Ventral_Multimodal,-0.0,0.0
R_47s-R_PeEc,Default,Ventral_Multimodal,0.0,0.0
R_TE1a-R_TF,Default,Ventral_Multimodal,0.0,0.01
R_47m-R_DVT,Default,Visual1,0.0,0.01
R_s32-L_DVT,Default,Visual1,0.0,0.0
R_25-L_VIP,Default,Visual2,-0.04,0.07
L_47s-L_V3CD,Default,Visual2,0.02,0.04
L_47s-L_V4t,Default,Visual2,0.01,0.01
R_TGd-L_V3B,Default,Visual2,-0.01,0.02
L_47s-L_FST,Default,Visual2,0.01,0.01
R_23d-L_FST,Default,Visual2,0.01,0.01
R_s32-L_PIT,Default,Visual2,0.0,0.01
R_s32-L_LO2,Default,Visual2,0.0,0.0
L_H-L_FST,Default,Visual2,-0.0,0.0
L_47s-L_LO3,Default,Visual2,0.0,0.0
L_47m-L_V4t,Default,Visual2,0.0,0.0
R_s32-L_V4t,Default,Visual2,0.0,0.0
R_EC-L_LO3,Default,Visual2,0.0,0.0
L_PHA2-L_FST,Default,Visual2,0.0,0.0
L_10pp-DIENCEPHALON_VENTRAL_RIGHT,Default,subcortex,0.17,0.14
R_s32-PUTAMEN_LEFT,Default,subcortex,0.07,0.1
L_PreS-HIPPOCAMPUS_LEFT,Default,subcortex,-0.05,0.13
L_s32-DIENCEPHALON_VENTRAL_RIGHT,Default,subcortex,0.04,0.06
L_TE1m-PUTAMEN_RIGHT,Default,subcortex,0.04,0.05
L_9m-AMYGDALA_LEFT,Default,subcortex,-0.03,0.04
L_EC-PALLIDUM_LEFT,Default,subcortex,-0.03,0.05
L_TE1a-PALLIDUM_LEFT,Default,subcortex,-0.03,0.04
L_s32-PALLIDUM_LEFT,Default,subcortex,0.02,0.05
L_s32-AMYGDALA_RIGHT,Default,subcortex,0.02,0.02
L_s32-PUTAMEN_RIGHT,Default,subcortex,0.02,0.03
L_STSvp-AMYGDALA_RIGHT,Default,subcortex,-0.02,0.02
L_10v-THALAMUS_RIGHT,Default,subcortex,-0.01,0.02
R_47m-R_p9-46v,Default,subcortex,-0.01,0.02
R_s32-PUTAMEN_RIGHT,Default,subcortex,-0.01,0.02
R_PGi-PUTAMEN_RIGHT,Default,subcortex,-0.01,0.03
R_TE1a-PALLIDUM_LEFT,Default,subcortex,0.01,0.02
L_47m-BRAIN_STEM,Default,subcortex,0.01,0.01
R_PreS-BRAIN_STEM,Default,subcortex,-0.01,0.01
R_s32-AMYGDALA_RIGHT,Default,subcortex,-0.01,0.01
R_47m-R_9-46d,Default,subcortex,-0.0,0.01
R_s32-PALLIDUM_LEFT,Default,subcortex,-0.0,0.01
L_47s-PALLIDUM_LEFT,Default,subcortex,-0.0,0.01
R_s32-AMYGDALA_LEFT,Default,subcortex,0.0,0.01
L_10d-AMYGDALA_LEFT,Default,subcortex,-0.0,0.0
L_OFC-PALLIDUM_LEFT,Default,subcortex,0.0,0.0
L_s32-AMYGDALA_LEFT,Default,subcortex,-0.0,0.0
L_PGs-AMYGDALA_RIGHT,Default,subcortex,-0.0,0.01
R_PGi-PALLIDUM_LEFT,Default,subcortex,0.0,0.0
R_p32-R_9-46d,Default,subcortex,-0.0,0.0
R_9m-R_9-46d,Default,subcortex,0.0,0.0
R_s32-CEREBELLUM_LEFT,Default,subcortex,0.0,0.0
R_TE1a-AMYGDALA_LEFT,Default,subcortex,0.0,0.0
R_25-AMYGDALA_RIGHT,Default,subcortex,-0.0,0.0
L_47m-AMYGDALA_RIGHT,Default,subcortex,-0.0,0.01
L_PGi-AMYGDALA_LEFT,Default,subcortex,-0.0,0.0
R_47l-R_p9-46v,Default,subcortex,-0.0,0.01
R_TE1a-PUTAMEN_RIGHT,Default,subcortex,0.0,0.0
R_TE1a-AMYGDALA_RIGHT,Default,subcortex,-0.0,0.0
R_25-PUTAMEN_RIGHT,Default,subcortex,0.0,0.0
L_PHA2-CAUDATE_LEFT,Default,subcortex,-0.0,0.0
R_47l-R_9-46d,Default,subcortex,-0.0,0.0
R_a24-R_p9-46v,Default,subcortex,0.0,0.0
R_PGi-AMYGDALA_RIGHT,Default,subcortex,-0.0,0.0
L_PGi-AMYGDALA_RIGHT,Default,subcortex,-0.0,0.0
R_a24-R_9-46d,Default,subcortex,-0.0,0.0
R_PFt-L_23c,Dorsal_Attention,Cingulo-Opercular,-0.05,0.08
R_TE2p-L_5mv,Dorsal_Attention,Cingulo-Opercular,-0.01,0.03
R_TE2p-R_PFop,Dorsal_Attention,Cingulo-Opercular,0.01,0.02
R_6a-L_p32pr,Dorsal_Attention,Cingulo-Opercular,-0.01,0.01
R_MIP-L_p32pr,Dorsal_Attention,Cingulo-Opercular,0.01,0.02
L_MIP-L_p32pr,Dorsal_Attention,Cingulo-Opercular,0.01,0.02
R_PFt-L_PF,Dorsal_Attention,Cingulo-Opercular,-0.01,0.01
R_TE2p-L_PFcm,Dorsal_Attention,Cingulo-Opercular,-0.01,0.01
R_TE2p-L_PFop,Dorsal_Attention,Cingulo-Opercular,-0.01,0.01
R_6a-L_a24pr,Dorsal_Attention,Cingulo-Opercular,-0.0,0.01
R_MIP-L_p24pr,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
R_TE2p-R_FOP5,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
L_IP0-L_a32pr,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_TE2p-R_PF,Dorsal_Attention,Cingulo-Opercular,0.0,0.01
R_7PL-L_33pr,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
L_PHT-L_PFop,Dorsal_Attention,Cingulo-Opercular,0.0,0.01
R_PFt-L_p24pr,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_7PL-L_p24pr,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
R_TE2p-R_p24,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
L_PGp-L_FOP5,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_TE2p-R_a32pr,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
R_PFt-L_FOP5,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
L_PGp-L_a32pr,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_TE2p-L_FOP5,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_7PL-L_p32pr,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
R_TE2p-L_PF,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
L_PHA3-L_PF,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_PGp-R_FOP5,Dorsal_Attention,Cingulo-Opercular,0.0,0.0
L_PHA3-L_PFop,Dorsal_Attention,Cingulo-Opercular,-0.0,0.0
R_TE2p-L_47s,Dorsal_Attention,Default,-0.08,0.13
L_TE2p-L_TE1m,Dorsal_Attention,Default,-0.05,0.05
R_PFt-L_TE1m,Dorsal_Attention,Default,0.04,0.05
R_MIP-R_EC,Dorsal_Attention,Default,-0.04,0.05
L_PEF-L_8Av,Dorsal_Attention,Default,-0.04,0.05
R_TE2p-L_TE1a,Dorsal_Attention,Default,-0.03,0.04
R_7PL-R_STSva,Dorsal_Attention,Default,-0.03,0.05
R_TE2p-R_25,Dorsal_Attention,Default,-0.02,0.04
L_PHT-L_TE1m,Dorsal_Attention,Default,-0.02,0.04
R_TE2p-L_PGi,Dorsal_Attention,Default,-0.02,0.03
L_PEF-L_s32,Dorsal_Attention,Default,-0.02,0.02
R_PFt-L_TGd,Dorsal_Attention,Default,-0.01,0.02
R_PFt-L_s32,Dorsal_Attention,Default,0.01,0.02
L_PFt-L_H,Dorsal_Attention,Default,-0.01,0.01
R_7PL-R_EC,Dorsal_Attention,Default,-0.01,0.01
L_PEF-L_47m,Dorsal_Attention,Default,0.01,0.01
L_LIPd-L_STSva,Dorsal_Attention,Default,-0.01,0.01
R_PFt-L_47s,Dorsal_Attention,Default,-0.01,0.01
L_PHT-L_PHA2,Dorsal_Attention,Default,0.01,0.01
R_TE2p-L_s32,Dorsal_Attention,Default,0.01,0.01
L_PFt-L_PHA2,Dorsal_Attention,Default,-0.0,0.01
L_PFt-L_TGd,Dorsal_Attention,Default,0.0,0.01
R_PHT-L_10v,Dorsal_Attention,Default,0.0,0.01
R_PFt-L_47m,Dorsal_Attention,Default,-0.0,0.01
L_PFt-L_TE1m,Dorsal_Attention,Default,-0.0,0.01
L_PFt-L_s32,Dorsal_Attention,Default,-0.0,0.01
L_PEF-L_47s,Dorsal_Attention,Default,0.0,0.01
L_PHA3-L_s32,Dorsal_Attention,Default,0.0,0.01
R_PFt-L_25,Dorsal_Attention,Default,0.0,0.01
R_7PL-R_s32,Dorsal_Attention,Default,0.0,0.0
L_PEF-L_v23ab,Dorsal_Attention,Default,0.0,0.0
L_PEF-L_7m,Dorsal_Attention,Default,0.0,0.0
L_PEF-L_POS1,Dorsal_Attention,Default,0.0,0.0
R_TE2p-L_25,Dorsal_Attention,Default,0.0,0.0
L_PFt-L_25,Dorsal_Attention,Default,-0.0,0.0
R_PFt-L_47l,Dorsal_Attention,Default,-0.0,0.0
R_PGp-L_EC,Dorsal_Attention,Default,-0.0,0.0
R_TE2p-L_POS1,Dorsal_Attention,Default,-0.0,0.0
R_TE2p-L_TGd,Dorsal_Attention,Default,0.0,0.0
R_TE2p-L_7m,Dorsal_Attention,Default,-0.0,0.0
R_TE2p-L_31pd,Dorsal_Attention,Default,-0.0,0.0
L_PEF-L_31pv,Dorsal_Attention,Default,-0.0,0.0
L_PEF-L_25,Dorsal_Attention,Default,-0.0,0.0
L_PHA3-L_PGs,Dorsal_Attention,Default,-0.0,0.0
R_TE2p-L_v23ab,Dorsal_Attention,Default,-0.0,0.0
R_TE2p-L_31pv,Dorsal_Attention,Default,0.0,0.0
R_PGp-L_s32,Dorsal_Attention,Default,0.0,0.0
L_IP0-L_PHA2,Dorsal_Attention,Default,-0.0,0.0
R_TE2p-L_47l,Dorsal_Attention,Default,-0.0,0.0
L_PEF-L_31pd,Dorsal_Attention,Default,0.0,0.0
L_PGp-L_PHA2,Dorsal_Attention,Default,0.0,0.0
R_7PL-L_PFt,Dorsal_Attention,Dorsal_Attention,0.05,0.06
L_PEF-L_6a,Dorsal_Attention,Dorsal_Attention,-0.02,0.06
R_TE2p-L_PGp,Dorsal_Attention,Dorsal_Attention,-0.02,0.04
R_MIP-R_TE2p,Dorsal_Attention,Dorsal_Attention,-0.02,0.02
R_PFt-R_TE2p,Dorsal_Attention,Dorsal_Attention,0.02,0.02
R_TE2p-L_PFt,Dorsal_Attention,Dorsal_Attention,-0.01,0.02
L_LIPd-L_TE2p,Dorsal_Attention,Dorsal_Attention,-0.01,0.01
R_MIP-L_PEF,Dorsal_Attention,Dorsal_Attention,0.0,0.01
R_7PL-R_TE2p,Dorsal_Attention,Dorsal_Attention,-0.0,0.01
R_TE2p-L_IP0,Dorsal_Attention,Dorsal_Attention,-0.0,0.01
R_7PL-L_PEF,Dorsal_Attention,Dorsal_Attention,0.0,0.0
R_6a-L_7PL,Dorsal_Attention,Dorsal_Attention,0.0,0.0
L_PEF-L_IP0,Dorsal_Attention,Dorsal_Attention,-0.0,0.0
L_PHA3-L_PGp,Dorsal_Attention,Dorsal_Attention,0.0,0.0
R_TE2p-L_PHT,Dorsal_Attention,Dorsal_Attention,0.0,0.0
R_TE2p-R_p10p,Dorsal_Attention,Frontoparietal,0.06,0.05
R_PHT-L_13l,Dorsal_Attention,Frontoparietal,-0.05,0.05
R_7PL-L_IFJp,Dorsal_Attention,Frontoparietal,0.01,0.01
R_TE2p-L_AVI,Dorsal_Attention,Frontoparietal,-0.01,0.01
R_MIP-L_IFJp,Dorsal_Attention,Frontoparietal,0.0,0.01
R_TE2p-R_p47r,Dorsal_Attention,Frontoparietal,0.0,0.0
R_PFt-L_AVI,Dorsal_Attention,Frontoparietal,-0.0,0.0
